SYMBOL,SECTOR,LTP,PE,PB,ROE,ROA,Market Cap (NPR),Impact In NEPSE
ADBL,Commercial Banks,369,11.3,1.5,14.45 %,1.45%,"49,502,161,047.17",1.13 %
CZBIL,Commercial Banks,241.00,31.3,1.6,5.38 %,0.52%,"35,450,985,721.42",0.81 %
EBL,Commercial Banks,619.00,19.8,2.8,15.04 %,1.45%,"78,613,126,552.69",1.80 %
GBIME,Commercial Banks,260.00,14.9,1.5,10.53 %,1.09%,"93,392,872,001.00",2.13 %
HBL,Commercial Banks,262.00,22.6,1.5,6.79 %,0.69%,"56,523,766,794.30",1.29 %
KBL,Commercial Banks,233.00,19.6,1.6,8.47 %,0.77%,"60,844,003,088.00",1.39 %
LSL,Commercial Banks,264.00,17.7,1.5,8.75 %,0.90%,"60,309,789,270.66",1.38 %
MBL,Commercial Banks,270.00,25.9,1.8,7.09 %,0.64%,"30,912,810,343.89",0.71 %
NABIL,Commercial Banks,566.00,20,2.5,13.08 %,1.42%,"153,142,603,953.90",3.50 %
NBL,Commercial Banks,290.00,20.1,1.1,5.67 %,0.65%,"42,597,972,468.23",0.97 %
NICA,Commercial Banks,457.00,141.4,2.2,1.59 %,0.14%,"67,591,495,723.75",1.54 %
NIMB,Commercial Banks,239.00,15.8,1.3,8.55 %,1.05%,"81,396,699,075.00",1.86 %
NMB,Commercial Banks,268.00,19.5,1.6,8.66 %,0.84%,"48,524,839,365.60",1.11 %
PCBL,Commercial Banks,283.00,14,1.7,12.86 %,1.49%,"54,909,289,276.73",1.25 %
PRVU,Commercial Banks,250.00,13.1,1.6,12.88 %,0.47%,"58,385,375,200.00",1.33 %
SANIMA,Commercial Banks,323.00,19.1,2.1,11.29 %,1%,"43,732,511,820.20",1.00 %
SBI,Commercial Banks,483.00,21.6,2.5,12.33 %,1.13%,"50,400,730,944.00",1.15 %
SBL,Commercial Banks,335.00,14.1,1.7,12.6 %,1.15%,"47,201,433,634.04",1.08 %
SCB,Commercial Banks,752.00,21.2,3.3,16.39 %,3.03%,"71,192,376,312.31",1.63 %
CORBL,Development Banks,"1,005.00",327.7,7,2.11 %,0.68%,"5,286,750,000.00",0.12 %
EDBL,Development Banks,681,94.7,4.4,4.81 %,0.55%,"8,547,910,421.42",0.20 %
GBBL,Development Banks,455,22.3,2.8,13.57 %,1.23%,"25,846,353,854.68",0.59 %
GRDBL,Development Banks,824,288.8,7.2,2.53 %,0.28%,"4,439,069,280.00",0.10 %
JBBL,Development Banks,372,47.1,2.5,5.66 %,0.47%,"16,264,407,793.00",0.37 %
KRBL,Development Banks,695,-71.1,7.1,0 %,-0.90%,"3,560,036,400.00",0.08 %
KSBBL,Development Banks,466,24.8,3,12.81 %,0.99%,"16,427,249,702.67",0.38 %
LBBL,Development Banks,499,27.8,2.5,9.82 %,0.95%,"17,590,739,019.41",0.40 %
MDB,Development Banks,658,49,4.6,9.74 %,1.86%,"7,363,201,071.58",0.17 %
MLBL,Development Banks,417,37.1,2.5,7.1 %,0.74%,"17,227,545,641.15",0.39 %
MNBBL,Development Banks,400,21.2,2.6,13.11 %,1.05%,"28,259,422,150.34",0.65 %
NABBC,Development Banks,928,256,38.9,14.56 %,1.36%,"2,440,948,680.00",0.06 %
SADBL,Development Banks,442,28.4,3,11.25 %,0.88%,"15,164,373,678.33",0.35 %
SAPDBL,Development Banks,670,103.6,9.5,9.71 %,0.76%,"5,673,501,324.00",0.13 %
SHINE,Development Banks,481,30.6,3.2,11.08 %,1.06%,"22,721,716,558.94",0.52 %
SINDU,Development Banks,779,54.2,10.5,15.16 %,1.31%,"4,348,157,322.60",0.10 %
BFC,Finance,746,569.5,5.5,1 %,0.18%,"6,954,213,314.40",0.16 %
CFCL,Finance,697,559.9,5.2,0.99 %,0.14%,"6,784,459,529.94",0.15 %
GFCL,Finance,1045,29.8,5.6,18.62 %,2.24%,"9,839,598,080.00",0.22 %
GMFIL,Finance,670,-154.5,5.1,0 %,-0.45%,"6,968,831,760.00",0.16 %
GUFL,Finance,771,93.6,4.7,5.1 %,0.67%,"6,865,830,958.00",0.16 %
ICFC,Finance,798,53,4.7,9.46 %,0.84%,"9,509,189,163.60",0.22 %
JFL,Finance,899,-90.6,13.2,0 %,-1.17%,"6,145,208,284.01",0.14 %
MFIL,Finance,800,36.8,4.6,13.37 %,1.43%,"10,947,574,537.20",0.25 %
MPFL,Finance,765,163.5,6.6,4.14 %,1.12%,"4,747,356,000.00",0.11 %
NFS,Finance,1333,677.1,9.8,1.45 %,0.39%,"9,848,277,000.00",0.22 %
PFL,Finance,692,-75.5,6.3,0 %,-0.69%,"8,010,918,835.74",0.18 %
PROFL,Finance,717,-406.3,15.8,0 %,-0.23%,"6,292,946,520.00",0.14 %
RLFL,Finance,708,-96.2,6.9,0 %,-0.89%,"8,130,525,407.34",0.19 %
SFCL,Finance,924,-73.4,16.5,0 %,-3.75%,"7,075,395,360.00",0.16 %
